text,label,type
Knowledge Graph,PERSON,NER
21980年代后期,DATE,NER
格罗宁根大学,ORG,NER
特文特大学,ORG,NER
GoogleBing,PERSON,NER
谷歌,ORG,NER
2012年5月17日,DATE,NER
2006年,DATE,NER
linked,PERSON,NER
URI,ORG,NER
RDF,ORG,NER
3 三元组,DATE,NER
通用,ORG,NER
三元组,CARDINAL,NER
中国,GPE,NER
19880908,CARDINAL,NER
(attributevalue,QUANTITY,NER
数据层,CARDINAL,NER
百科类,PERCENT,NER
第一,ORDINAL,NER
named,PERSON,NER
NER,PERSON,NER
2004年,DATE,NER
70,CARDINAL,NER
72008年,DATE,NER
82010年,DATE,NER
中汇集属性信息,ORG,NER
10,CARDINAL,NER
第三方,ORDINAL,NER
数据化,CARDINAL,NER
ontology,PERSON,NER
11,CARDINAL,NER
康熙),PERSON,NER
2011年,DATE,NER
1000,CARDINAL,NER
12,CARDINAL,NER
Freebase,CARDINAL,NER
13,CARDINAL,NER
Data Microsoft,PRODUCT,NER
Data The World Book Encyclopedia Y,ORG,NER
圖譜,n,JIEBA
图谱,n,JIEBA
英語,nz,JIEBA
结构化,n,JIEBA
语义,n,JIEBA
知识库,n,JIEBA
符号,n,JIEBA
形式,n,JIEBA
物理,n,JIEBA
世界,n,JIEBA
概念,n,JIEBA
关系,n,JIEBA
基本,n,JIEBA
单位,n,JIEBA
实体,n,JIEBA
属性,n,JIEBA
网状,n,JIEBA
知识结构,n,JIEBA
网页,n,JIEBA
链接,n,JIEBA
用户,n,JIEBA
主题,n,JIEBA
字符串,n,JIEBA
检索,vn,JIEBA
搜索引擎,n,JIEBA
图形,n,JIEBA
方式,n,JIEBA
大量,n,JIEBA
定位,n,JIEBA
深度,ns,JIEBA
數據,n,JIEBA
结构,n,JIEBA
数据模型,n,JIEBA
联系,n,JIEBA
實體,n,JIEBA
格罗宁根,ns,JIEBA
大学,n,JIEBA
特文特,nr,JIEBA
启动,vn,JIEBA
项目,n,JIEBA
界面,n,JIEBA
定义,n,JIEBA
功能,n,JIEBA
辅助,vn,JIEBA
问世,n,JIEBA
网络,n,JIEBA
技术,n,JIEBA
研究,vn,JIEBA
领域,n,JIEBA
数据,n,JIEBA
思想,n,JIEBA
技术标准,n,JIEBA
基础,n,JIEBA
条件,n,JIEBA
代表,n,JIEBA
元素,n,JIEBA
类别,n,JIEBA
对象,n,JIEBA
类型,n,JIEBA
事物,n,JIEBA
种类,n,JIEBA
人物,n,JIEBA
地理,n,JIEBA
特征,n,JIEBA
特性,n,JIEBA
特点,n,JIEBA
参数,n,JIEBA
国籍,n,JIEBA
外延,n,JIEBA
全局,n,JIEBA
标识,n,JIEBA
刻画,n,JIEBA
关联,ns,JIEBA
逻辑,n,JIEBA
架构,n,JIEBA
模式,n,JIEBA
事实,n,JIEBA
数据库,n,JIEBA
本体,n,JIEBA
规范,n,JIEBA
体系,n,JIEBA
部分,n,JIEBA
融合,vn,JIEBA
发展,vn,JIEBA
百科,nz,JIEBA
网站,n,JIEBA
数据源,n,JIEBA
信息,n,JIEBA
自动,vn,JIEBA
资源,n,JIEBA
人工,n,JIEBA
异构,n,JIEBA
单元,n,JIEBA
命名,n,JIEBA
自动识别,n,JIEBA
关键,n,JIEBA
准确率,n,JIEBA
效率,n,JIEBA
质量,n,JIEBA
影响,vn,JIEBA
准召率,n,JIEBA
理想,n,JIEBA
字典,n,JIEBA
算法,n,JIEBA
论文,nz,JIEBA
实例,n,JIEBA
建模,n,JIEBA
利用,n,JIEBA
模型,n,JIEBA
海量,n,JIEBA
列表,n,JIEBA
语料库,n,JIEBA
面向,n,JIEBA
监督,vn,JIEBA
分类,n,JIEBA
日志,ns,JIEBA
聚类,n,JIEBA
文本,n,JIEBA
语料,n,JIEBA
信息源,n,JIEBA
公众,n,JIEBA
昵称,n,JIEBA
教育,vn,JIEBA
背景,n,JIEBA
结果,n,JIEBA
层次性,nz,JIEBA
逻辑性,n,JIEBA
歧义,n,JIEBA
错误,n,JIEBA
指将,n,JIEBA
产品,n,JIEBA
关系数据库,n,JIEBA
网络化,n,JIEBA
一段距离,n,JIEBA
加工,vn,JIEBA
评估,vn,JIEBA
关系数据,n,JIEBA
乾隆,nr,JIEBA
父亲,n,JIEBA
雍正,nr,JIEBA
祖父,n,JIEBA
孙子,nr,JIEBA
老虎,nr,JIEBA
猫科,n,JIEBA
食肉,n,JIEBA
问题,n,JIEBA
对应,vn,JIEBA
句子,n,JIEBA
训练,vn,JIEBA
斯蒂,nr,JIEBA
系统,n,JIEBA
置信度,n,JIEBA
全网,n,JIEBA
范围,n,JIEBA
过程,n,JIEBA
频率,n,JIEBA
评分,n,JIEBA
先验,n,JIEBA
修正,nr,JIEBA
方法,n,JIEBA
正误,n,JIEBA
不确定性,n,JIEBA
扩展性,n,JIEBA
挑战,vn,JIEBA
消歧,n,JIEBA
效果,n,JIEBA
空间,n,JIEBA
标准,n,JIEBA
指标,n,JIEBA
思维,n,JIEBA
Knowledge Graph）,DEFINITION,REGEX
数据层和模式层,DEFINITION,REGEX
英語：Knowledge Graph,PARENTHESIS,REGEX
linked data,PARENTHESIS,REGEX
uniform resource identifier,PARENTHESIS,REGEX
resource description framework,PARENTHESIS,REGEX
Web ontology language,PARENTHESIS,REGEX
"E, R, S",PARENTHESIS,REGEX
概念的外延,PARENTHESIS,REGEX
"attributevalue pair, AVP",PARENTHESIS,REGEX
fact,PARENTHESIS,REGEX
information extraction,PARENTHESIS,REGEX
named entity recognition，NER,PARENTHESIS,REGEX
entity linking,PARENTHESIS,REGEX
"乾隆, 父亲, 雍正",PARENTHESIS,REGEX
"雍正, 父亲, 康熙",PARENTHESIS,REGEX
"乾隆, 祖父, 康熙",PARENTHESIS,REGEX
"康熙, 孙子, 乾隆",PARENTHESIS,REGEX
