subject,predicate,object,sentence,confidence,method
Graph,is_a,结构化,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Graph,is_a,语义,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Graph,is_a,知识库,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Graph,is_a,符号,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Graph,is_a,物理,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Graph,is_a,世界,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Graph,is_a,概念,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
图谱,is_a,结构化,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
图谱,is_a,语义,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
图谱,is_a,知识库,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
图谱,is_a,符号,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
图谱,is_a,物理,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
图谱,is_a,世界,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
图谱,is_a,概念,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Knowledge Graph,is_a,结构化,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Knowledge Graph,is_a,语义,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Knowledge Graph,is_a,知识库,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
Knowledge Graph,is_a,符号,知识图谱（Knowledge Graph）是结构化的语义知识库，用符号描述物理世界概念及其关系,0.8,pattern
